       0.0000000          0.70616653           168.26876           3.2055080           3.1795685           1264956.3          0.27647267           2313.1183           3.5293695          0.48084201           4.3154346           3.7182124         0    17    44
      0.61875000E-05      0.70616702           171.45314           3.2143014           3.2072107           1265279.9          0.27534465           2348.9945           3.5338261          0.47878080           4.3322472           3.6567053         0    17    42
      0.12375000E-04      0.70616346           174.76201           3.2219154           3.2314052           1265587.3          0.27456926           2387.9796           3.5449089          0.47687521           4.3646981           3.6913656         0    19    43
      0.18562500E-04      0.70616415           178.17808           3.2282995           3.2508221           1265956.7          0.27443190           2434.0942           3.5214443          0.47529172           4.3658565           3.7656835         0    18    44
      0.24750000E-04      0.70616493           181.68540           3.2334957           3.2844475           1266289.8          0.27386931           2478.1319           3.5329806          0.47739342           4.4127042           3.7419675         0    18    44
      0.30937500E-04      0.70616591           185.28402           3.2382737           3.3162676           1266681.2          0.27363082           2525.7913           3.5431669          0.47377641           4.4627570           3.8736672         0    18    42
      0.37125000E-04      0.70616498           188.90327           3.2467443           3.3458743           1266996.3          0.27241020           2564.9922           3.5512722          0.47579090           4.4922550           3.8759348         0    18    43
      0.43312500E-04      0.70616607           192.66921           3.2544839           3.3787504           1267376.7          0.27153456           2608.6681           3.5583706          0.47412152           4.4860067           3.9029711         0    19    44
      0.49500000E-04      0.70616975           196.44656           3.2579218           3.4083888           1267801.9          0.26979098           2642.9249           3.5654516          0.48057015           4.4710632           3.9052302         0    18    47
      0.55687500E-04      0.70616974           200.34589           3.2670816           3.4369512           1268156.7          0.26826000           2680.6489           3.6062115          0.47653725           4.4986469           3.9323290         0    18    41
      0.61875000E-04      0.70616829           204.28178           3.2762290           3.4746836           1268534.9          0.26601834           2711.9441           3.6258921          0.47239275           4.5472785           3.9184378         0    18    46
      0.68062500E-04      0.70617059           208.37822           3.2833699           3.5127763           1268899.5          0.26459155           2752.3564           3.6172547          0.46839215           4.5531489           3.9925147         0    18    43
      0.74250000E-04      0.70617355           212.55044           3.2906845           3.5483668           1269276.0          0.26318773           2793.9655           3.6331184          0.46920374           4.5427498           3.9477049         0    18    44
      0.80437500E-04      0.70617767           216.72937           3.2940639           3.5772259           1269681.4          0.26080565           2822.6299           3.5979582          0.45811337           4.5528924           3.9522167         0    18    42
      0.86625000E-04      0.70618047           221.06718           3.2988251           3.6137023           1270114.6          0.25836138           2853.6036           3.6049301          0.44751438           4.5813589           4.0689902         0    18    42
      0.92812500E-04      0.70618290           225.54950           3.3030971           3.6518894           1270464.7          0.25721308           2900.4830           3.6110197          0.44524317           4.5745250           4.0905943         0    18    43
      0.99000000E-04      0.70618536           230.04281           3.3133516           3.6964742           1270802.4          0.25489177           2932.0752           3.6271697          0.42988225           4.5614180           4.3184651         0    18    43
      0.10518750E-03      0.70618776           234.64344           3.3204072           3.7324786           1271127.9          0.25285028           2967.7035           3.6296814          0.42631137           4.5718456           4.3248252         0    17    44
