       0.0000000            30         0         0     35409     35409   1212030
      0.61875000E-05        30         0         0     39489     39489   1212030
      0.12375000E-04        30         0         0     39654     39654   1212030
      0.18562500E-04        30         0         0     39689     39689   1212030
      0.24750000E-04        30         0         0     39700     39700   1212030
      0.30937500E-04        30         0         0     40072     40072   1212030
      0.37125000E-04        30         0         0     39857     39857   1212030
      0.43312500E-04        30         0         0     40078     40078   1212030
      0.49500000E-04        30         0         0     40358     40358   1212030
      0.55687500E-04        30         0         0     40482     40482   1212030
      0.61875000E-04        30         0         0     40343     40343   1212030
      0.68062500E-04        30         0         0     40844     40844   1212030
      0.74250000E-04        30         0         0     41196     41196   1212030
      0.80437500E-04        30         0         0     40965     40965   1212030
      0.86625000E-04        30         0         0     41027     41027   1212030
      0.92812500E-04        30         0         0     41143     41143   1212030
      0.99000000E-04        30         0         0     41519     41519   1212030
